_id,YIL,AY,ILCE,MAHALLE,DAGITIM_YERI,MIKTAR,BIRIM
1,2020,3,-,-,Sokak besleme,1275,kg
2,2020,3,Foça,"",Foça Yerel Hizmetler Þube Müdürlüðü,4125,kg
3,2020,3,Menderes,"",Þopen Gazi Barýnaðý,5100,kg
4,2020,3,Kýnýk,"",Kýnýk Yerel Hizmetler Þube Müdürlüðü,750,kg
5,2020,3,Menderes,"",Menderes Yerel Hizmetler Þube Müdürlüðü,750,kg
6,2020,3,Dikili,"",Dikili Yerel Hizmetler Þube Müdürlüðü,1120,kg
7,2020,3,Bergama,"",Bergama Yerel Hizmetler Þube Müdürlüðü,750,kg
8,2020,3,Karaburun,"",Karaburun Yerel Hizmetler Þube Müdürlüðü,750,kg
9,2020,3,Seferihisar,"",Seferihisar Yerel Hizmetler Þube Müdürlüðü,750,kg
10,2020,3,Çeþme,"",Çeþme Yerel Hizmetler Þube Müdürlüðü,1125,kg
11,2020,3,Urla,"",Urla Yerel Hizmetler Þube Müdürlüðü,750,kg
12,2020,3,Menemen,"",Menemen Yerel Hizmetler Þube Müdürlüðü,450,kg
13,2020,3,Kemalpaþa,"",Kemalpaþa Yerel Hizmetler Þube Müdürlüðü,750,kg
14,2020,3,Ödemiþ,"",Ödemiþ Yerel Hizmetler Þube Müdürlüðü,750,kg
15,2020,3,Bayýndýr,"",Bayýndýr Yerel Hizmetler Þube Müdürlüðü,750,kg
16,2020,3,Tire,"",Tire Yerel Hizmetler Þube Müdürlüðü,750,kg
17,2020,3,Beydað,"",Beydað Yerel Hizmetler Þube Müdürlüðü,750,kg
18,2020,3,Torbalý,"",Torbalý Yerel Hizmetler Þube Müdürlüðü,750,kg
19,2020,4,-,-,Sokak besleme,630,kg
20,2020,4,Foça,"",Foça Yerel Hizmetler Þube Müdürlüðü,2800,kg
21,2020,4,Menderes,"",Þopen Gazi Barýnaðý,1425,kg
22,2020,4,Kýnýk,"",Kýnýk Yerel Hizmetler Þube Müdürlüðü,1150,kg
23,2020,4,Menderes,"",Menderes Yerel Hizmetler Þube Müdürlüðü,1500,kg
24,2020,4,Dikili,"",Dikili Yerel Hizmetler Þube Müdürlüðü,1350,kg
25,2020,4,Aliaða,"",Aliaða Yerel Hizmetler Þube Müdürlüðü,1650,kg
26,2020,4,Bergama,"",Bergama Yerel Hizmetler Þube Müdürlüðü,900,kg
27,2020,4,Karaburun,"",Karaburun Yerel Hizmetler Þube Müdürlüðü,1200,kg
28,2020,4,Seferihisar,"",Seferihisar Yerel Hizmetler Þube Müdürlüðü,1650,kg
29,2020,4,Çeþme,"",Çeþme Yerel Hizmetler Þube Müdürlüðü,1350,kg
30,2020,4,Urla,"",Urla Yerel Hizmetler Þube Müdürlüðü,1200,kg
31,2020,4,Menemen,"",Menemen Yerel Hizmetler Þube Müdürlüðü,1650,kg
32,2020,4,Kemalpaþa,"",Kemalpaþa Yerel Hizmetler Þube Müdürlüðü,1050,kg
33,2020,4,Ödemiþ,"",Ödemiþ Yerel Hizmetler Þube Müdürlüðü,1650,kg
34,2020,4,Bayýndýr,"",Bayýndýr Yerel Hizmetler Þube Müdürlüðü,1650,kg
35,2020,4,Tire,"",Tire Yerel Hizmetler Þube Müdürlüðü,900,kg
36,2020,4,Beydað,"",Beydað Yerel Hizmetler Þube Müdürlüðü,825,kg
37,2020,4,Torbalý,"",Torbalý Yerel Hizmetler Þube Müdürlüðü,825,kg
38,2020,4,Selçuk,"",Selçuk Yerel Hizmetler Þube Müdürlüðü,750,kg
39,2020,5,-,-,Sokak besleme,1815,kg
40,2020,5,Foça,"",Foça Yerel Hizmetler Þube Müdürlüðü,2850,kg
41,2020,5,Menderes,"",Þopen Gazi Barýnaðý,2100,kg
42,2020,5,Seferihisar,"",Seferihisar Yerel Hizmetler Þube Müdürlüðü,1500,kg
43,2020,6,-,-,Sokak besleme,960,kg
44,2020,6,Foça,"",Foça Yerel Hizmetler Þube Müdürlüðü,2250,kg
45,2020,6,Menderes,"",Þopen Gazi Barýnaðý,1575,kg
46,2020,6,Kýnýk,"",Kýnýk Yerel Hizmetler Þube Müdürlüðü,750,kg
47,2020,6,Bergama,"",Bergama Yerel Hizmetler Þube Müdürlüðü,750,kg
48,2020,6,Karaburun,"",Karaburun Yerel Hizmetler Þube Müdürlüðü,300,kg
